,Experiment name:,Sample experiment
Duration:,5 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,BPM,Arb
Units:,BPM,Arb
Time
'0:0:35.75,84,1675
'0:0:35.8,84,1674
'0:0:35.85,84,1674
'0:0:35.9,84,1673
'0:0:35.95,84,1672
'0:0:36.0,84,1670
'0:0:36.05,84,1669
'0:0:36.1,84,1666
'0:0:36.15,84,1663
'0:0:36.2,84,1661
'0:0:36.25,84,1661
'0:0:36.3,84,1662
'0:0:36.35,84,1663
'0:0:36.4,84,1663
'0:0:36.45,84,1662
'0:0:36.5,84,1662
'0:0:36.55,84,1661
'0:0:36.6,84,1660
'0:0:36.65,84,1658
'0:0:36.7,84,1658
'0:0:36.75,84,1656
'0:0:36.8,84,1656
'0:0:36.85,84,1659
'0:0:36.9,84,1663
'0:0:36.95,82,1668
'0:0:37.0,82,1675
'0:0:37.05,82,1683
'0:0:37.1,82,1692
'0:0:37.15,82,1701
'0:0:37.2,82,1709
'0:0:37.25,82,1717
'0:0:37.3,82,1726
'0:0:37.35,82,1736
'0:0:37.4,82,1745
'0:0:37.45,82,1753
'0:0:37.5,82,1761
'0:0:37.55,82,1768
'0:0:37.6,82,1774
'0:0:37.65,82,1780
'0:0:37.7,82,1786
'0:0:37.75,81,1787
'0:0:37.8,81,1785
'0:0:37.85,81,1783
'0:0:37.9,81,1779
'0:0:37.95,81,1773
'0:0:38.0,81,1766
'0:0:38.05,81,1758
'0:0:38.1,81,1751
'0:0:38.15,81,1744
'0:0:38.2,81,1739
'0:0:38.25,81,1733
'0:0:38.3,81,1727
'0:0:38.35,81,1722
'0:0:38.4,81,1715
'0:0:38.45,81,1708
'0:0:38.5,81,1702
'0:0:38.55,81,1699
'0:0:38.6,81,1697
'0:0:38.65,81,1695
'0:0:38.7,81,1691
'0:0:38.75,81,1688
'0:0:38.8,81,1684
'0:0:38.85,81,1683
'0:0:38.9,81,1682
